Date,^AXJO,^BVSP,^DJI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2019-01-02,5557.7998046875,91012.0,23346.240234375,6734.2001953125,10580.1904296875,2510.030029296875,25130.349609375,6665.93994140625,
2019-01-03,5633.39990234375,91564.0,22686.220703125,6692.7001953125,10416.66015625,2447.889892578125,25064.359375,6463.5,
2019-01-04,5619.39990234375,91841.0,23433.16015625,6837.39990234375,10767.6904296875,2531.93994140625,25626.029296875,6738.85986328125,19561.9609375
2019-01-07,5683.2001953125,91699.0,23531.349609375,6810.89990234375,10747.8095703125,2549.68994140625,25835.69921875,6823.47021484375,20038.970703125
2019-01-08,5722.39990234375,92032.0,23787.44921875,6861.60009765625,10803.98046875,2574.409912109375,25875.44921875,6897.0,20204.0390625
2019-01-09,5778.2998046875,93613.0,23879.119140625,6906.60009765625,10893.3203125,2584.9599609375,26462.3203125,6957.080078125,20427.060546875
2019-01-10,5795.2998046875,93806.0,24001.919921875,6942.89990234375,10921.58984375,2596.639892578125,26521.4296875,6986.06982421875,20163.80078125
2019-01-11,5774.60009765625,93658.0,23995.94921875,6918.2001953125,10887.4599609375,2596.260009765625,26667.26953125,6971.47998046875,20359.69921875
2019-01-14,5773.39990234375,94474.0,23909.83984375,6855.0,10855.91015625,2582.610107421875,26298.330078125,6905.919921875,
2019-01-15,5814.60009765625,94056.0,24065.58984375,6895.0,10891.7900390625,2610.300048828125,26830.2890625,7023.830078125,20555.2890625
2019-01-16,5835.2001953125,94393.0,24207.16015625,6862.7001953125,10931.240234375,2616.10009765625,26902.099609375,7034.68994140625,20442.75
2019-01-17,5850.10009765625,95351.0,24370.099609375,6834.89990234375,10918.6201171875,2635.9599609375,26755.630859375,7084.4599609375,20402.26953125
2019-01-18,5879.60009765625,96097.0,24706.349609375,6968.2998046875,11205.5400390625,2670.7099609375,27090.810546875,7157.22998046875,20666.0703125
2019-01-21,5890.39990234375,96010.0,,6970.60009765625,11136.2001953125,,27196.5390625,,20719.330078125
2019-01-22,5858.7998046875,95103.0,24404.48046875,6901.39990234375,11090.1103515625,2632.89990234375,27005.44921875,7020.35986328125,20622.91015625
2019-01-23,5843.7001953125,96558.0,24575.619140625,6842.89990234375,11071.5400390625,2638.699951171875,27008.19921875,7025.77001953125,20593.720703125
2019-01-24,5865.7001953125,97677.0,24553.240234375,6819.0,11130.1796875,2642.330078125,27120.98046875,7073.4599609375,20574.630859375
2019-01-25,5905.60009765625,,24737.19921875,6809.2001953125,11281.7900390625,2664.760009765625,27569.189453125,7164.85986328125,20773.560546875
2019-01-28,,95444.0,24528.220703125,6747.10009765625,11210.3095703125,2643.85009765625,27576.9609375,7085.68017578125,20649.0
2019-01-29,5874.2001953125,95639.0,24579.9609375,6833.89990234375,11218.830078125,2640.0,27531.6796875,7028.2900390625,20664.640625
2019-01-30,5886.7001953125,96996.0,25014.859375,6941.60009765625,11181.66015625,2681.050048828125,27642.849609375,7183.080078125,20556.5390625
2019-01-31,5864.7001953125,97394.0,24999.669921875,6968.89990234375,11173.099609375,2704.10009765625,27942.470703125,7281.740234375,20773.490234375
2019-02-01,5862.7998046875,97861.0,25063.890625,7020.2001953125,11180.66015625,2706.530029296875,27930.740234375,7263.8701171875,20788.390625
2019-02-04,5891.2001953125,98589.0,25239.369140625,7034.10009765625,11176.580078125,2724.8701171875,27990.2109375,7347.5400390625,20883.76953125
2019-02-05,6005.89990234375,98311.0,25411.51953125,7177.39990234375,11367.98046875,2737.699951171875,,7402.080078125,20844.44921875
2019-02-06,6026.10009765625,94636.0,25390.30078125,7173.10009765625,11324.7197265625,2731.610107421875,,7375.27978515625,20874.060546875
2019-02-07,6092.5,94406.0,25169.529296875,7093.60009765625,11022.01953125,2706.050048828125,,7288.35009765625,20751.279296875
2019-02-08,6071.5,95343.0,25106.330078125,7071.2001953125,10906.7802734375,2707.8798828125,27946.3203125,7298.2001953125,20333.169921875
2019-02-11,6060.7998046875,94413.0,25053.109375,7129.10009765625,11014.58984375,2709.800048828125,28143.83984375,7307.89990234375,
2019-02-12,6079.10009765625,96168.0,25425.759765625,7133.10009765625,11126.080078125,2744.72998046875,28171.330078125,7414.6201171875,20864.2109375
2019-02-13,6063.60009765625,95842.0,25543.26953125,7190.7998046875,11167.2197265625,2753.030029296875,28497.58984375,7420.3798828125,21144.48046875
2019-02-14,6059.39990234375,98015.0,25439.390625,7197.0,11089.7900390625,2745.72998046875,28432.05078125,7426.9501953125,21139.7109375
2019-02-15,6066.10009765625,97526.0,25883.25,7236.7001953125,11299.7998046875,2775.60009765625,27900.83984375,7472.41015625,20900.630859375
2019-02-18,6089.7998046875,96510.0,,7219.5,11299.2001953125,,28347.009765625,,21281.849609375
2019-02-19,6106.89990234375,97659.0,25891.3203125,7179.2001953125,11309.2099609375,2779.760009765625,28228.130859375,7486.77001953125,21302.650390625
2019-02-20,6096.5,96545.0,25954.439453125,7228.60009765625,11401.9697265625,2784.699951171875,28514.05078125,7489.06982421875,21431.490234375
2019-02-21,6139.2001953125,96932.0,25850.630859375,7167.39990234375,11423.2802734375,2774.8798828125,28629.919921875,7459.7099609375,21464.23046875
2019-02-22,6167.2998046875,97886.0,26031.810546875,7178.60009765625,11457.7001953125,2792.669921875,28816.30078125,7527.5400390625,21425.509765625
2019-02-25,6186.2998046875,97240.0,26091.94921875,7183.7001953125,11505.3896484375,2796.110107421875,28959.30078125,7554.4599609375,21528.23046875
2019-02-26,6128.39990234375,97603.0,26057.98046875,7151.10009765625,11540.7900390625,2793.89990234375,28772.060546875,7549.2998046875,21449.390625
2019-02-27,6150.2998046875,97307.0,25985.16015625,7107.2001953125,11487.330078125,2792.3798828125,28757.439453125,7554.509765625,21556.509765625
2019-02-28,6169.0,95584.0,25916.0,7074.7001953125,11515.6396484375,2784.489990234375,28633.1796875,7532.52978515625,21385.16015625
2019-03-01,6192.7001953125,94604.0,26026.3203125,7106.7001953125,11601.6796875,2803.68994140625,28812.169921875,7595.35009765625,21602.689453125
2019-03-04,6217.39990234375,,25819.650390625,7134.39990234375,11592.66015625,2792.81005859375,28959.58984375,7577.56982421875,21822.0390625
2019-03-05,6199.2998046875,,25806.630859375,7183.39990234375,11620.740234375,2789.64990234375,28961.599609375,7576.35986328125,21726.279296875
2019-03-06,6245.60009765625,94217.0,25673.4609375,7196.0,11587.6298828125,2771.449951171875,29037.599609375,7505.919921875,21596.810546875
2019-03-07,6263.89990234375,94340.0,25473.23046875,7157.60009765625,11517.7998046875,2748.929931640625,28779.44921875,7421.4599609375,21456.009765625
2019-03-08,6203.7998046875,95365.0,25450.240234375,7104.2998046875,11457.83984375,2743.070068359375,28228.419921875,7408.14013671875,21025.560546875
