Date,^AXJO,^BVSP,^DJI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2023-02-28,0.09439499899960081,0.18711652815497865,0.1598899518418547,0.09140523508023993,0.13456723597637182,0.19059159398959932,0.2116539040143448,0.2733524450442483,0.15448481585625645
2023-03-01,0.09454694343813423,0.17703450426243247,0.15725970651888843,0.09079484133816883,0.13462497422295197,0.1875967771864667,0.24260863350124745,0.26973952604328477,0.1543898033501397
2023-03-02,0.09303687563354884,0.1744313208766039,0.1474391235930007,0.0883924507899236,0.13123531514494516,0.17751775753969162,0.2438132054970193,0.2619185037179894,0.15415992860095412
2023-03-03,0.09326112708269808,0.1646025532628725,0.15151776736272074,0.08827082039964818,0.13517957650005272,0.1823650255940029,0.23963820297698984,0.26355007673738645,0.15827500147191526
2023-03-06,0.09142950639871825,0.16478940048967733,0.14957286858734506,0.08832280153333462,0.13224866328713902,0.17895376028498958,0.23911297140454787,0.26006609551398185,0.15863415515277918
2023-03-07,0.08618050136756106,0.16463779122221947,0.15572909126135384,0.08516379106485902,0.13281799999059235,0.18468409038027928,0.23871108913636885,0.2631869112208919,0.15851803089226213
2023-03-08,0.0872662228205866,0.17783436550157058,0.1551152685368454,0.08337090630724248,0.13320072328034682,0.18435453938949656,0.24436036137271,0.2627750968467046,0.15226198040033673
2023-03-09,0.08393617684269393,0.18048360734764027,0.1587365146600633,0.08556048153588605,0.13221755481212452,0.1920167350713985,0.24418842756205078,0.27054197752992853,0.15244150125029093
2023-03-10,0.10646339040318686,0.18058733081739925,0.15331237293590547,0.09848181194692476,0.13844107793631613,0.19129088146594736,0.25636058452346655,0.27317520098474823,0.14872281154379682
2023-03-13,0.10503561860325904,0.17920547011189933,0.1522584508086235,0.12028987008872796,0.15773510274614916,0.19013617155768803,0.26492211097836693,0.2716712143809433,0.14581534180376174
2023-03-14,0.11055700026594092,0.1789760665311665,0.15261706619795268,0.12522142345307177,0.16487929444670338,0.1881573357820294,0.26310788633181653,0.2679757238972309,0.16091611800807976
2023-03-15,0.11263885085954504,0.17842987108306693,0.1428181397185491,0.16770932120211288,0.18994300768131386,0.17361982885526267,0.25069547505552936,0.2374466300176498,0.13360909136838578
2023-03-16,0.11856706087765988,0.18078172404315532,0.14716366921265975,0.17014325642953057,0.19587038728663458,0.17838185300809717,0.24427920980852721,0.24088402123061475,0.13537615525207236
2023-03-17,0.12000852993332428,0.17614088628379568,0.1453823066273518,0.17190711103509684,0.19946058591019183,0.17506251049421367,0.2509479668517323,0.23734474404569617,0.13962408717877361
2023-03-20,0.1233921133090714,0.17598487436030072,0.15097194115267687,0.1749585593732369,0.20210219654699377,0.17423118673174154,0.2558664958352985,0.23025052440805946,0.14561691026928578
2023-03-22,0.1354848141653303,0.16815171930623177,0.15159408904908148,0.1858896946276477,0.19973783232198905,0.16759460376955093,0.2758910918619015,0.20874746760199117,0.1562588706796739
2023-03-23,0.13363917713209852,0.17565880353560742,0.15202414189078467,0.1839399858791677,0.19968948559591623,0.16624055820038838,0.28491662493969583,0.20662017465408036,0.15590969697631604
